Artists,Name,Weekly.rank,Peak.position,Weeks.on.chart,Week,Date,Genre,Writing.Credits,Lyrics,Features
Lil Wayne,Got Money,10,10.0,16.0,2008-09-25,"May 27, 2008",Rap,"Oscar salinas, Juan salinas, T pain, Lil wayne","Got Money 
Yeah, yeah!
I need a Winn-Dixie grocery bag full of money
whoo!
Right now to the VIP section whoo!
You got Young Mula in the house tonight, baby yeah!
Yeah, haha, yeah, Young ay-hey
Young, Young, Young, Young Mula baby!
If you got money yeah and you know it yeah
Then take it out your pocket and show it then throw it like
Fly! This-a-way fly! that-a-way
Fly! This-a-way fly! that-a-way
If you getting mugged from everybody you see
Then hang over the wall of the VIP like
Fly! This-a-way fly! that-a-way
Fly! This-a-way fly! that-a-way
Alright, alright
Now I was bouncing through the club
She love the way I diddy-bop
I see her boyfriend hating like a city cop
Now I ain't never been a chicken but my fifty cocked
Say I ain't never been a chicken but my semi cocked
Now where your bar at? I'm trying to rent it out
And we so bout it bout it, now what are you about?
DJ show me love, he say my name when the music stop
""Young Money, Lil Wayne then the music drop
I make it snow, I make it flurry
I make it all back tomorrow, don't worry
Yeah, young Wayne on them hoes
A.K.A Mr Make-It-Rain-On-Them-Hoes
Young Money
If you got money yeah and you know it yeah
Then take it out your pocket and show it then throw it like
Fly! This-a-way fly! that-a-way
Fly! This-a-way fly! that-a-way
If you getting mugged from everybody you see
Then hang over the wall of the VIP like
Fly! This-a-way fly! that-a-way
Fly! This-a-way fly! that-a-way
Streets! It go one for the money, two for the show
Now clap your hands if you got a bankroll Chris
Like some clap on lights in this bitch
I'mma be clapping all night in this bitch
Lights off, mask on
Creep silent, she smiling
He muggin', who cares
'Cause my goons are right here
Like it's nothing to a big dog
And I'm a Great Dane, I wear eight chains
I'm in so much ice, they yell Skate, Wayne!""
She wanna fuck Weezy, but she wanna rape Wayne
And I'mma let her
If you got money yeah and you know it yeah
Then take it out your pocket and show it then throw it like
Fly! This-a-way fly! that-a-way
Fly! This-a-way fly! that-a-way
If you getting mugged from everybody you see
Then hang over the wall of the VIP like
Okay, it's young Wayne on them hoes
A.K.A Mr Make-it-Rain-On-Them-Hoes
Like ayy! And everybody say
Mr Rainman can we have a rainy day?
Bring an umbrella, please bring an umbrella
'Ella, ella, ella, ayy!
Bitch ain't shit but a ho and a trick
But you know it ain't tricking if you got it
You know we ain't fucking if you not thick
And I'll cool your ass down if you think you're hot shit
So Rolex watch this, I do it, four, five, six
My click-clack goes the black four-fifth
And just like it I'll blow that shit
'Cause bitch I'm the bomb like tick, tick
Biatch!
If you got money yeah and you know it yeah
Then take it out your pocket and show it then throw it like
Fly! This-a-way fly! that-a-way
Fly! This-a-way fly! that-a-way
If you getting mugged from everybody you see
Then hang over the wall of the VIP like
Fly! This-a-way fly! that-a-way
Fly! This-a-way fly! that-a-way
Yeah, it's young Wayne on them hoes
AKA Mr Make-It-Rain-On-Them-Hoes
Yeah, young Wayne on them hoes
Make a stripper fall in love, T-Pain on them hoes
Uh-huh Um, Young Mula, baby
",T
Leona Lewis,Better In Time,18,18.0,10.0,2008-09-25,"March 9, 2008","R&;B,Pop","Jr rotem, Andrea martin","Better in Time 
It's been the longest winter without you
I didn't know where to turn to
See, somehow I can't forget you
After all that we've been through
Going, coming
Thought I heard a knock
Who's there? No one
Thinking that I deserve it
Now I realize that I really didn't know
If you didn't notice, you mean everything
Quickly I'm learning to love again
All I know is I'mma be okay
Thought I couldn't live without you
It's gonna hurt when it heals too oh, yeah
It'll all get better in time
And even though I really love you
I'm gonna smile cause I deserve to
It'll all get better in time
I couldn't turn on the TV
Without something there to remind me
Was it all that easy
To just put aside your feelings?
If I'm dreaming, don't wanna laugh
Hurt my feelings, but that's the path
I believe in, and I know that time will heal it
If you didn't notice, boy, you meant everything
Quickly I'm learning to love again
All I know is I'mma be okay
Thought I couldn't live without you
It's gonna hurt when it heals, too oh, yeah
It'll all get better in time
And even though I really love you
I'm gonna smile cause I deserve to
It'll all get better in time
Since there's no more you and me no more you and me
It's time I let you go so I can be free
And live my life how it should be and I know, and I know
No matter how hard it is, I'll be fine without you
Yes, I will!
Thought I couldn't live without you
It's gonna hurt when it heals, too
It'll all get better in time
And even though I really loved you
I'm gonna smile cause I deserve to, yes I do
It'll all get better in time
Thought I couldn't live without you
It's gonna hurt when it heals, too yeah
It'll all get better in time
And even though I really loved you
Gonna smile cause I deserve to
",
Taylor Swift,Love Story,5,5.0,2.0,2008-10-02,"September 12, 2008","Pop Country,Country,Pop",Taylor swift,"Love Story 
We were both young when I first saw you
I close my eyes, and the flashback starts
I'm standing there
On a balcony in summer air
See the lights, see the party, the ball gowns
See you make your way through the crowd
And say, hello""
Little did I know
That you were Romeo, you were throwing pebbles
And my daddy said, stay away from Juliet""
And I was crying on the staircase
Begging you, please don't go, and I said
Romeo, take me somewhere we can be alone
I'll be waiting, all there's left to do is run
You'll be the prince and I'll be the princess
It's a love story baby just say yes""
So I sneak out to the garden to see you
We keep quiet, cause we're dead if they knew
So close your eyes
Escape this town for a little while
'Cause you were Romeo, I was a scarlet letter
And my daddy said, Stay away from Juliet""
But you were everything to me
I was begging you please don't go and I said
Romeo, take me somewhere we can be alone
I'll be waiting, all there's left to do is run
You'll be the prince and I'll be the princess
It's a love story baby just say yes""
Romeo, save me, they're trying to tell me how to feel
This love is difficult, but it's real
Don't be afraid, we'll make it out of this mess
It's a love story baby just say yes""
Oh, oh
I got tired of waiting
Wondering if you were ever coming around
My faith in you was fading
When I met you on the outskirts of town, and I said
Romeo save me I've been feeling so alone
I keep waiting for you but you never come
Is this in my head? I don't know what to think
He knelt to the ground and pulled out a ring
And said: Marry me Juliet
You'll never have to be alone
I love you and that's all I really know
I talked to your dad, go pick out a white dress
It's a love story baby just say yes'""
Oh, oh
Oh, oh
Because we were both young when I first saw you
",
Kevin Rudolf,Let It Rock,15,15.0,5.0,2008-10-09,"June 16, 2008","Rap Rock,Hip-Hop,Pop-Rock,Electronic Rock,Pop,Alternative Rock,Rock,Rap","Kevin rudolf, Lil wayne","Let It Rock 
I see your dirty face, hide behind your collar
What is done in vain, truth is hard to swallow
So you pray to God to justify the way
You live a lie, live a lie, live a lie
And you take your time
And you do your crime
Well, you made your bed
I made mine
Because when I arrive, I, I'll bring the fire
Make you come alive, I can take you higher
What this is, forgot, I must now remind you
Let it rock, let it rock, let it rock
Now the son's disgraced, he who knew his father
When he cursed his name, turned and chased the dollar
But it broke his heart, so he stuck his middle finger
To the world, to the world, to the world
And you take your time
And you stand in line
Well, you'll get what's yours
I got mine
Because when I arrive, I, I'll bring the fire
Make you come alive, I can take you higher
What this is, forgot, I must now remind you
Let it rock, let it rock, let it rock
Yeoaw!
Wayne's World, Planet Rock
Panties drop, and the tops
And she gonna rock til the camera stop
And I sing about angels like Angela
Rock! And Pamela
Rock! And Samantha
Rock! And Amanda
And Tamara, menage a moi
I'm in here like, Bitch, what's up?""
Mechanic, me, I can fix you up
I can dick you up, I can dick you down
Shorty, we can go wherever, just pick a town
And my jewelry is louder than an engine sound
Big-ass rocks like on the ground
Dirty like socks that's on the ground
Weezy
Because when I arrive, I, I'll bring the fire
Make you come alive, I can take you higher
What this is, forgot, I must now remind you
Let it rock, let it rock, let it rock
Because when I arrive, I, I'll bring the fire
Make you come alive, I can take you higher
What this is, forgot, I must now remind you
Let it rock, let it rock, let it rock
Just let it rock, let it rock, let it rock
Let it rock
Let it rock
I'm back like I forgot somethin', I'm somethin'
Ruling rock rubbing rap running
Miles like I'm trying to get a flat stomach
Like Wayne the personal trainer
My aim is perfect, I'll bang ya
Period, like the reminder
And I wish I could be as cruel as you
And I wish I could say the things you do
But I can't and I won't live a lie
No, not this time
",Lil Wayne
Kanye West,Love Lockdown,3,3.0,2.0,2008-10-09,"September 18, 2008","Alternative R&;B,R&;B,Electro-Pop,Pop,Producer","Esthero, Starshell, Malik yusef, Jeff bhasker, Kanye west","Love Lockdown 
I'm not loving you, way I wanted to
What I had to do, had to run from you
I'm in love with you, but the vibe is wrong
And that haunted me, all the way home
So you never know, never never know
Never know enough, til it's over love
'Til we lose control, system overload
Screaming, No, no, no, n-nooo!""
I'm not loving you, way I wanted to
See I wanna move, but can't escape from you
So I keep it low, keep a secret code
So everybody else don't have to know
So keep your love lockdown—your love lockdown
Keeping your love lockdown—your love lockdown
Now keep your love lockdown—your love lockdown
Now keep your love lockdown—you lose
I'm not loving you, way I wanted to
I can't keep my cool, so I keep it true
I got something to lose, so I gotta move
I can't keep myself, and still keep you too
So I keep in mind, when I'm on my own
Somewhere far from home, in the danger zone
How many times did I tell you fore it finally got through?
You lose, you lose
I'm not loving you, way I wanted to
See I had to go, see I had to move
No more wasting time, you can't wait for life
We're just racing time, where's the finish line?
So keep your love lockdown—your love lockdown
Keeping your love lockdown—your love lockdown
Now keep your love lockdown—your love lockdown
Now keep your love lockdown—you lose
I'm not loving you, way I wanted to
I bet no one knew, I got no one new
Know I said I'm through, but got love for you
But I'm not loving you, the way I wanted to
Gotta keep it going, keep the loving going
Keep it on the roll, only God knows
If I be with you, baby I'm confused
You choose, you choose
I'm not loving you, way I wanted to
Where I wanna go, I don't need you
I've been down this road, too many times before
I'm not loving you, way I wanted to
So keep your love lockdown—your love lockdown
Keeping your love lockdown—your love lockdown
Now keep your love lockdown—your love lockdown
Now keep your love lockdown—you lose
You lose, you lose
You lose, you lose
",
Lil Wayne,Mrs. Officer,19,19.0,7.0,2008-10-16,"June 10, 2008",Rap,"Bobby v, Kidd kidd, Deezle, Darius harrison, Lil wayne","Mrs Officer 
Ayy
Ayy yeah
Hey yeah
Ayy, ayy, ayy
Valentino Woo woo woo! yeah, yeah yeah yeah yeah
Yeah, yeah Woo woo woo! yeah yeah yeah yeah
Yeah Woo woo woo! Yeah yeah yeah
Yeah, yeah Woo woo woo! Bobby Valentino
When I get up all in ya yeah
We can hear the angels calling us chyeah
We can see the sunrise before us yeah
And when I'm in that thang, I'll make that body sang
Deezle on the beat I make it say
Wee-ooh-wee-ooh-wee ay wee-ooh-wee-ooh-wee ay
Wee-ooh-wee-ooh-wee like a cop car
Wee-ooh-wee-ooh-wee, wee-ooh-wee-ooh-wee ay
Wee-ooh-wee-ooh-wee haha
I make ya say
Yeah, doing a buck in the latest drop
I got stopped by a lady cop, haha
She got me thinking I can date a cop, haha
Cause her uniform fit her so tight
She read me my rights
She put me in her car, she cut off her lights
She said I had the right, to remain silent
Now I got her hollering, sounding like a siren
Talking bout wee-ooh-wee-ooh-wee yeah
Wee-ooh-wee-ooh-wee Yeah wee-ooh-wee-ooh-wee yeah
And I know she the law, and she know I'm the boss
And she know I get high, a-bove the law
And she know I'm raw, she know I'm from the streets
And all she want me to do is fuck the police
Talking bout wee-ooh-wee-ooh-wee, wee-ooh-wee-ooh-wee
Yeah wee-ooh-wee-ooh-wee yeah
When I get up all in ya
We can hear the angels calling us yeah
We can see the sunrise before us umm
And when I'm in that thang, I'll make that body sang
I make it say: wee-ooh-wee-ooh-wee, wee-ooh-wee-ooh-wee
Wee-ooh-wee-ooh-wee like a cop car
Wee-ooh-wee-ooh-wee, wee-ooh-wee-ooh-wee yeah
Wee-ooh-wee-ooh-wee hey I'll make ya say
Haha, and after we got done
I said Lady, what's your number? She said 911""
Hah, emergency only
Head doctor perform surgery on me
Yeah, and now I'm healed
I make her wear nothing but handcuffs and heels
And I beat it like a cop
Rodney King, baby, yeah I beat it like a cop
Hahah! Beat it like a cop
Rodney King baby said Beat it like a cop""
But I ain't tryna be violent
But I'll do the time, but her love is timeless
Mrs Officer
I know you wish your name was Mrs Carter, huh?
Wee-ooh-wee-ooh-wee, wee-ooh-wee-ooh-wee Yeah
Wee-ooh-wee-ooh-wee Like a cop car
When I get up all in ya
We can hear the angels calling us
We can see the sunrise before us
And when I'm in that thang, I'll make that body sang
I make it say: wee-ooh-wee-ooh-wee, wee-ooh-wee-ooh-wee
Wee-ooh-wee-ooh-wee
Wee-ooh-wee-ooh-wee, wee-ooh-wee-ooh-wee
Wee-ooh-wee-ooh-wee, I'll make ya say
Mrs Officer, Mrs Officer
Tell your lieutenant get them cuffs off of ya
I'm Kidd Kidd, my face on every wanted poster
I'm wanted by every lady cop all over
That ass so big, I catch a battery to hold ya
Hands so big, you thought I told, Pull it over""
She pulled me over, pulled me out the Rover
Then she pulled me closer, do me in the back of the car
Put me in handcuffs, start ripping my pants off
All you heard over the dispatcher is...
Wee-ooh-wee-ooh-wee, wee-ooh-wee-ooh-wee
Wee-ooh-wee-ooh wee
When I get up all in ya
We can hear the angels calling us
We can see the sunrise before us
And when I'm in that thang, I'll make that body sang
I make it say
Maybe you can lock me up and throw away the key
Call your sergeant and tell him you can't finish your shift
Cause it's on tonight
Breakfast in bed turns to breakfast and head
And I can't wait to get it on
I wanna do it all night long, Mrs Officer
When I get up all in ya
We can hear the angels calling us
We can see the sunrise before us
And when I'm in that thang, I'll make that body sang
I make it say: wee-ooh-wee-ooh-wee, wee-ooh-wee-ooh-wee
Wee-ooh-wee-ooh-wee
Wee-ooh-wee-ooh-wee, wee-ooh-wee-ooh-wee
Wee-ooh-wee-ooh-wee, I'll make ya say
","Bobby Valentino, Kidd Kidd"
T.I.,Live Your Life,1,1.0,2.0,2008-10-16,"September 23, 2008","Pop,Rap","Ti, Just blaze, Makeba riddick","Live Your Life 
Miya hee, miya ho, miya hu, miya ha-ha
Miya hee, miya ho, miya hu, miya ha-ha
Miya hee, miya ho, miya hu, miya ha-ha
Miya hee, miya ho, miya hu, miya ha-ha
Ay this a special what's happening to all my
All my soldiers over there in Iraq
E'rybody right here
What you need to do is be thankful for the life you got, y'knowmsayin?
Stop looking at what you ain't got
Start being thankful for what you do got
Let's give it to em baby girl, hey
You're gonna be, a shining star
In fancy clothes, and fancy cars
And then you'll see, you're gonna go far
Cause everyone knows, just who ya are-are
So live your life AYY! Ayyy ayyy ayyy
You steady chasing that paper
Just live your life OHH! Ayyy ayyy ayyy
Ain't got no time for no haters
Just live your life AYY! Ayyy ayyy ayyy
No telling where it'll take ya
Just live your life OHH! Ayyy ayyy ayyy
Cause I'm a paper chaser
Just living my life AYY my life OHH
My life AYY my life OHH
Just living my life AYY my life OHH
My life AYY my life OHH just living my life
Hey, never mind what haters say, ignore em til they fade away
Amazing they ungrateful after all the game I gave away
Safe to say I paved the way for you cats to get paid today
You'd still be wasting days away now had I never saved the day
Consider them my protege, homage I think they should pay
Instead of being gracious, they violate in a major way
I never been a hater, still, I love em in a crazy way
Some say they sold the yay' you know they couldn't get work on Labor Day
It ain't that black and white, it has an area the shade of gray
I'm Westside anyway, even if I left today and stayed away
Some move away to make a way, not move away cause they afraid
I brought back to the hood, and all you ever did was take away
I pray for patience but they make me wanna melt they face away
Like I once made em spray, now I could make em put the K's away
Been thugging all my life, can't say I don't deserve to take a break
You'd rather see me catch a case and watch my future fade away
You're gonna be, a shining star
In fancy clothes, and fancy car-ars
And then you'll see, you're gonna go far
Cause everyone knows, just who ya are-are
So live your life AYY! Ayyy ayyy ayyy
Just live your life AYY! Ayyy ayyy ayyy
Ain't got no time for no haters
Just live your life AYY! Ayyy ayyy ayyy
No telling where it'll take ya
Just live your life OHH! Ayyy ayyy ayyy
Cause I'm a paper chaser
Just living my life AYY my life OHH
My life AYY my life OHH
Just living my life AYY my life OHH
My life AYY my life OHH just living my life
I'm the opposite of moderate, immaculately polished with
The spirit of a hustler and the swagger of a college kid
Allergic to the counterfeit, impartial to the politics
Articulate, but still I'll grab a nigga by the collar quick
Whoever having problems with their record sales just holler Tip
If that don't work and all else fails then turn around and follow Tip
I got love for the game, but ay I'm not in love with all of it
Could do without the fame, and rappers nowadays are comedy
The hooting and the hollerin', back and forth with the arguin'
Where you from, who you know, what you make and what kind of car you in
Seems as though you lost sight of what's important when depositin'
Them checks into your bank account, and you up out of poverty
Your values is a disarray, prioritizing horribly
Unhappy with the riches cause you're piss poor morally
Ignoring all prior advice and forewarnin'
And we mighty full of ourselves all of a sudden, aren't we?
You're gonna be, a shining star
In fancy clothes, and fancy cars
And then you'll see, you're gonna go far
Cause everyone knows, just who ya are-are
So live your life AYY! Ayyy ayyy ayyy
You steady chasing that paper
Just live your life AYY! Ayyy ayyy ayyy
Ain't got no time for no haters
Just live your life AYY! Ayyy ayyy ayyy
No telling where it'll take ya
Just live your life OHH! Ayyy ayyy ayyy
Cause I'm a paper chaser
Just living my life AYY my life OHH
My life AYY my life OHH
Just living my life AYY my life OHH
My life AYY my life OHH just living my life
Got everybody watching what I do, come walk in my shoes
And see the way I'm living if you really want to
Got my mind on my money
And I'm not going awayyyyyyy
So keep on getting your paper, and keep on climbin'
Look in the mirror, and keep on shining shinin'
Until the game ends, til the clock stop
We gon' post up on the top spot
Living the life, the life
In the Windmill City got my whole team with me
The life, my life
I do it how I wanna do
I'm living my life, my life
I will never lose
I'm living my life, my life
And I'll never stop it
Miya hee, miya ho, miya hu, miya ha-ha
Miya hee, miya ho, miya hu, miya ha-ha
Miya hee, miya ho, miya hu, miya ha-ha
Miya hee, miya ho, miya hu, miya ha-ha
So live your life
",Rihanna
Britney Spears,Womanizer,1,1.0,2.0,2008-10-23,"October 3, 2008","Dance-Pop,Electro-Pop,Pop","Nikesha briscoe, Rafael akinyemi","Womanizer 
Superstar, where you from? How's it going?
I know you got a clue what you're doing
You can play brand new to all the other chicks out here
But I know what you are, what you are, baby
Look at you, getting more than just a re-up
Baby, you got all the puppets with their strings up
Faking like a good one, but I call em like I see em
I know what you are, what you are, baby
Womanizer, woman-womanizer, you're a womanizer
Oh, womanizer, oh, you're a womanizer, baby
You-you-you are, you-you-you are
Womanizer, womanizer, womanizer
Boy, don't try to front, I-I know just, just what you are
Boy, don't try to front, I-I know just, just what you are
You got me going, you're oh-so-charming
But I can't do it, you womanizer
Boy, don't try to front, I-I know just, just what you are
Boy, don't try to front, I-I know just, just what you are
You say I'm crazy, I got you crazy
You're nothing but a womanizer
Daddy-O, you got the swagger of a champion
Too bad for you, you just can't find the right companion
I guess when you have one too many, makes it hard, it could be easy
Who you are, that's just who you are, baby
Lollipop, must mistake me for a sucker
To think that I would be a victim, not another
Say it, play it how you wanna, but no way, I'm never gonna fall for you
Never you, baby
Womanizer, woman-womanizer, you're a womanizer
Oh, womanizer, oh, you're a womanizer, baby
You-you-you are, you-you-you are
Womanizer, womanizer, womanizer
Boy, don't try to front, I-I know just, just what you are
Boy, don't try to front, I-I know just, just what you are
You got me going, you're oh-so-charming
But I can't do it, you womanizer
Boy, don't try to front, I-I know just, just what you are
Boy, don't try to front, I-I know just, just what you are
You say I'm crazy, I got you crazy
You're nothing but a womanizer
Maybe if we both lived in a different world
Womanizer, womanizer, womanizer, womanizer
It would be all good, and maybe I could be your girl
But I can't cause we don't, you...
Womanizer, woman-womanizer, you're a womanizer
Oh, womanizer, oh, you're a womanizer, baby
You-you-you are, you-you-you are
Womanizer, womanizer, womanizer
Boy, don't try to front, I-I know just, just what you are
Boy, don't try to front, I-I know just, just what you are
You got me going, you're oh-so-charming
But I can't do it, you womanizer
Boy, don't try to front, I-I know just, just what you are
Boy, don't try to front, I-I know just, just what you are
You say I'm crazy, I got you crazy
You're nothing but a womanizer
Boy, don't try to front, I-I know just, just what you are
Boy, don't try to front, I-I know just, just what you are
Womanizer, woman-womanizer, you're a womanizer
Oh, womanizer, oh, you're a womanizer, baby
",
Akon,Right Now,14,14.0,5.0,2008-11-06,"September 23, 2008","R&;B,Rap",Akon,"Right Now Na Na Na 
It's been so long
That I haven't seen your face
I'm trying to be strong
But the strength I have is washing away
It won't be long
Before I get you by my side
And just hold you, tease you, squeeze you, tell you what's been on my mind
I wanna make up right now na na
I wanna make up right now na na
Wish we never broke up right now na na
We need to link up right now na na
I wanna make up right now na na
I wanna make up right now na na
Wish we never broke up right now na na
We need to link up right now na na
Girl I know, mistakes were made between us two
And we showed
Ourselves that night, even said somethings weren't true
Why'd you go?
And haven't seen my girl since then
Why can't it be the way it was
Cause you were my Homie, lover, and friend...
I wanna make up right now na na
I wanna make up right now na na
Wish we never broke up right now na na
We need to link up right now na na
I wanna make up right now na na
I wanna make up right now na na
Wish we never broke up right now na na
We need to link up right now na na
I can't lie, miss you much
Watching everyday that goes by I miss you much
Till I get you back I'm gon' try, yes I miss you much
Cuz you are the apple of my eye, girl I miss you much
I can't lie, I miss you much
Watching everyday that goes by, I miss you much
Till I get you back I'm gon' try, yes I miss you much
Cuz you are the apple of my eye girl I miss you much
I wanna make up right now na na
I wanna make up right now na na
Wish we never broke up right now na na
We need to link up right now na na
I wanna make up right now na na
I wanna make up right now na na
Wish we never broke up right now na na
We need to link up right now na na
I want you to fly with me, want you to fly
I miss how you lie with me, miss how you lie
Just wish you could dine with me, wish you could dine with me
The one that'll grind with me, said the one that will grind with me
I want you to fly with me, want you to fly
I miss how you lie with me, ohh miss how you lie
Just wish you could dine with me, wish you could dine
The one that'll grind with me ohh the one that'll grind...
I wanna make up right now na na
I wanna make up right now na na
Wish we never broke up right now na na
We need to link up right now na na
I wanna make up right now na na
I wanna make up right now na na
Wish we never broke up right now na na
We need to link up right now na na
",
Beyonce,If I Were A Boy,3,3.0,3.0,2008-11-06,"October 12, 2008","Folk Rock,Folk,R&;B,Pop","R hudson, Alanis morissette, Larry troutman, Glenn ballard, M hooks, Roger troutman, C stainton, J cocker, Toby gad, Bc jean","If I Were a Boy 
If I were a boy
Even just for a day
I'd roll out of bed in the morning
And throw on what I wanted and go
Drink beer with the guys
And chase after girls
I'd kick it with who I wanted
And I'd never get confronted for it
'Cause they'd stick up for me
If I were a boy
I think I could understand
How it feels to love a girl
I swear I'd be a better man
I'd listen to her
'Cause I know how it hurts
When you lose the one you wanted
'Cause he's taken you for granted
And everything you had got destroyed
If I were a boy
I would turn off my phone
Tell everyone it's broken
So they'd think that I was sleeping alone
I'd put myself first
And make the rules as I go
'Cause I'd know that she'd be faithful
Waiting for me to come home
To come home
If I were a boy
I think I could understand
How it feels to love a girl
I swear I'd be a better man
I'd listen to her
'Cause I know how it hurts
When you lose the one you wanted Wanted
'Cause he's taken you for granted Granted
And everything you had got destroyed
It's a little too late for you to come back
Say, it's just a mistake
Think I'd forgive you like that
If you thought I would wait for you
You thought wrong
But you're just a boy
You don't understand
Yeah, you don't understand, oh
How it feels to love a girl
Someday, you'll wish you were a better man
You don't listen to her
You don't care how it hurts
Until you lose the one you wanted
'Cause you've taken her for granted
And everything you have got destroyed
But you're just a boy...
",
Saving Abel,Addicted,20,20.0,22.0,2008-11-20,"March 11, 2008","Hard Rock,Post-Grunge,Rock","Skidd mills, Jared weeks, Jason null","Addicted 
I'm so addicted to
All the things you do
When you're going down on me
In between the sheets
Oh, the sounds you make
With every breath you take
It's unlike anything
When you're loving me
Ooh, girl let's take it slow
So as for you, well, you know where to go
I want to take my love and hate you till the end
It's not like you to turn away
From all the bullshit I can't take
It's not like me to walk away
I'm so addicted to
All the things you do
When you're going down on me
In between the sheets
Oh, the sounds you make
With every breath you take
It's unlike anything
When you're loving me
Yeah...
I know when it's getting rough
All the times we spend
Trying to make this love
Something better than
Just making up again
It's not like you to turn away
From all the bullshit I can't take
Just when I think I can walk away
I'm so addicted to
All the things you do
When you're going down on me
In between the sheets
Oh, the sounds you make
With every breath you take
It's unlike anything
I'm so addicted to
The things you do
When you're going down on me
Oh, the sounds you make
With every breath you take
It's unlike anything
When you're loving me, yeah
When you're loving me
How can I make it through
All the things you do
There's just gotta be more to you and me
I'm so addicted to
All the things you do
When you're going down on me
In between the sheets
Oh, the sounds you make
With every breath you take
It's unlike anything
It's unlike anything
I'm so addicted to
All the things you do
When you're going down on me
Oh, the sounds you make
With every breath you take
It's unlike anything
I'm so addicted to you
Addicted to you
",
Lady Gaga,Just Dance,16,16.0,15.0,2008-11-27,"April 8, 2008","Dance-Pop,Pop","Redone, Akon, Lady gaga","Just Dance 
RedOne
Konvict
Gaga oh-oh, eh
I've had a little bit too much, much Oh, oh, oh-oh
All of the people start to rush Start to rush by
A dizzy twister dance
Can't find my drink or man
Where are my keys?
I lost my phone, phone Oh, oh, oh-oh
What's going on on the floor?
I love this record, baby, but I can't see straight anymore
Keep it cool
What's the name of this club?
I can't remember, but it's alright, alright
Just dance
Gonna be okay
Da-da-doo-doot-n, just dance
Spin that record, babe
Da-da-doo-doot-n, just dance
Gonna be okay
Da-da-da-dance, dance, dance
Just j-j-just dance
Wish I could shut my playboy mouth Oh, oh, oh-oh
How'd I turn my shirt inside out? Inside out, right
Control your poison, babe
Roses have thorns, they say
And we're all getting hosed tonight Oh, oh, oh-oh
What's going on on the floor?
I love this record, baby, but I can't see straight anymore
Keep it cool
What's the name of this club?
I can't remember, but it's alright, alright
Just dance
Gonna be okay
Da-da-doo-doot-n, just dance
Spin that record, babe
Da-da-doo-doot-n, just dance
Gonna be okay
Da-da-da-dance, dance, dance
Just j-j-just dance
When I come through on the dance floor, checking out that catalogue
Can't believe my eyes
So many women without a flaw
And I ain't gonna give it up
Steady, tryna pick it up, like a call
I'mma hit it, I'mma beat it and latch onto it until tomorrow, yeah
Shorty, I can see that you got so much energy
The way you twirling up them hips round and round
And there is no reason at all why you can't leave here with me
In the meantime, stay and let me watch you break it down
And dance
Gonna be okay Oh-oh
Da-da-doo-doot-n, just dance Ooh, yeah
Spin that record, babe
Da-da-doo-doot-n, just dance Ooh, yeah
Gonna be okay
Da-da-doo-doot-n, just dance Ooh, yeah
Spin that record, babe
Da-da-doo-doot-n, just dance Oh
Gonna be okay
Da-da-da-dance, dance, dance Gonna be okay, yeah
Just j-j-just dance Oh
Incredible amazing music
Wooo!
Let's go!
Half psychotic, sick, hypnotic, got my blueprint, it's symphonic
Half psychotic, sick, hypnotic, got my blueprint, electronic
Half psychotic, sick, hypnotic, got my blueprint, it's symphonic
Half psychotic, sick, hypnotic, got my blueprint, electronic
Go!
Use your muscle, carve it out, work it, hustle
I got it, just stay close enough to get it on
Don't slow!
Drive it, clean it, Lysol, bleed it
Spend the last dough I got it in your pock-o I got it
Just dance
Gonna be okay
Da-da-doo-doot-n, just dance
Spin that record, babe
Da-da-doo-doot-n, just dance
Gonna be okay
Da-da-doo-doot-n, just dance
Spin that record, babe
Da-da-doo-doot-n, just dance
Gonna be okay
Da-da-da-dance, dance, dance
Just j-j-just dance
",Colby O'Donis
Zac Brown Band,Chicken Fried,20,20.0,10.0,2008-12-04,"November 18, 2008","Country,Rock","Wyatt durrette, Zac brown","Chicken Fried 
You know I like my chicken fried
Cold beer on a Friday night
A pair of jeans that fit just right
And the radio up
Well I was raised up beneath the shade of a Georgia Pine
And that's home you know
Sweet tea, pecan pie, and homemade wine where the peaches grow
And my house it's not much to talk about
But it's filled with love that's grown in southern ground
And a little bit of chicken fried
Cold beer on a Friday night
A pair of jeans that fit just right
And the radio up
Well I've seen the sun rise
See the love in my woman's eyes
Feel the touch of a precious child
And know a mother's love
It's funny how it's the little things in life that mean the most
Not where you live, what you drive, or the price tag on your clothes
There's no dollar sign on a piece of mind
This I've come to know
So if you agree, have a drink with me
Raise you glasses for a toast
To a little bit of chicken fried
Cold beer on a Friday night
A pair of jeans that fit just right
And the radio up
Well I've seen the sun rise
See the love in my woman's eyes
Feel the touch of a precious child
And know a mother's love
I thank God for my life
And for the stars and stripes
May freedom forever fly, let it ring
Salute the ones who died
The ones that give their lives so we don't have to sacrifice
All the things we love
Like our chicken fried
And cold beer on a Friday night
A pair of jeans that fit just right
And the radio up
Well I've seen the sun rise
See the love in my woman's eyes
Feel the touch of a precious child
And know a mother's love
Get your little chicken fried
Cold beer on a Friday night
A pair of jeans that fit just right
And the radio up
Well I've done seen the sun rise
See the love in my woman's eyes
Feel the touch of a precious child
And know a mother's love
",
