,SongName
332,Battery.2
333,Nothing Else Matters.1
334,Orion.1
335,Master of Puppets.2
336,Poor Twisted Me
337,The Unforgiven.6
338,Until It Sleeps.1
339,Creeping Death.1
340,The Frayed Ends of Sanity
341,Master of Puppets.3
342,The Thing That Should Not Be
343,Battery.1
344,Jo Jo Action
345,Co Co Jamboo.1
346,Co Co Jamboo
347,I Give You My Heart
348,Up 'N Away
349,I Give You My Heart.1
350,I'll Follow The Sun
351,Als sterren aan de hemel staan
352,'n Dag uit duizend dromen
353,Op rode rozen vallen tranen
354,Het leven is te mooi
355,Waarom heb jij mij verlaten
356,Buenas Dias weisse Taube
357,Courage
358,Highway Girl
359,Ahead by a Century
360,Fifty-Mission Cap
361,38 Years Old
362,Small Town Bringdown
363,Blow at High Dough
364,Boots or Hearts
365,Cordelia
366,Dear Mr. Fantasy
367,"40,000 Headmen"
368,Paper Sun
369,Who Knows What Tomorrow May Bring
370,Hole in My Shoe
371,The Low Spark of High Heeled Boys
372,Smiling Phases
373,John Barleycorn (Must Die)
374,Coloured Rain
375,Feelin' All Right
376,Born to Be Alive.4
377,Born to Be Alive.3
378,Born to Be Alive.2
379,Born to Be Alive.1
380,Born to Be Alive
381,Unbelievable
382,Unbelievable.2
383,Unbelievable.1
384,Zombie.4
385,Away
386,(They Long to Be) Close to You
387,The Rebels
388,I Just Shot John Lennon.1
389,Everything I Said
390,Daffodil Lament
391,Pretty
392,Dreams
393,War Child.1
394,Zombie.3
395,Zombie.2
396,Cordell
397,I Will Always
398,Will You Remember?
399,What You Were
400,I'm Still Remembering
401,Zombie.1
402,I Just Shot John Lennon
403,I Can't Be With You.1
404,Wanted
405,Hollywood.1
406,Ode to My Family.5
407,Just My Imagination
408,Linger
409,Will You Remember?.1
410,Empty
411,Ode to My Family.4
412,The Icicle Melts
413,Twenty One
414,Forever Yellow Skies
415,Ode to My Family.1
416,Disappointment
417,Ode to My Family
418,Uncertain
419,Ode to My Family.3
420,Sunday
421,Ode to My Family.2
422,Tomorrow
423,I Can't Be With You
424,Twenty One.1
425,Free to Decide
426,Linger.1
427,Salvation
428,Linger.3
429,Twenty One.2
430,The Picture I View
431,When You're Gone
432,Hollywood
433,Analyse
434,Linger.2
435,Pathetic Senses
436,I Still Do
437,Not Sorry
438,Waltzing Back
439,Dreaming My Dreams
440,War Child
441,Intermission
442,Promises
443,Linger.5
444,Zombie
445,Put Me Down
446,Linger.4
447,Free to Decide.2
448,How
449,Salvation.1
450,Cordell.2
451,Free to Decide.1
452,So Cold in Ireland
453,Salvation.2
454,Cordell.1
455,Animal Instinct
456,Electric Blue
457,Dreams.3
458,Promises.2
459,Joe
460,Yeats Grave
461,Dreams.2
462,Promises.1
463,The Icicle Melts.1
464,Dreams.1
465,Super Gut
466,Eins Zwei Polizei
467,Eins Zwei Polizei.1
468,Itsy Bitsy Teenie Weenie
469,(What a) Wonderful World.1
470,C'est si bon
471,(What a) Wonderful World
472,"Hello, Dolly!"
473,La Vie en rose
474,Pickin' My Way
475,Georgia on My Mind
476,Yakety Sax
477,On the Road Again
478,Rocky Top
479,Detroit City
480,Sweet Georgia Brown
481,Steel Guitar Rag
482,Early Bird Satellite
483,Early Bird Satellite.1
484,Everybody's Somebody's Fool
485,Lipstick on Your Collar
486,Where the Boys Are
487,My Happiness
488,Stupid Cupid
489,Lili Marleen
490,Everybody's Somebody's Fool.1
491,Mala femmena
492,Anema e core
493,A Real Mother for Ya
494,John Hardy
495,Inside Your Dreams.1
496,Love Religion.1
497,Night in Motion
498,Das Boot.1
499,Das Boot
500,Inside Your Dreams
501,Club Bizarre
502,Love Religion
503,You Light Up My Life
504,Big Dipper
505,Abita in te
506,Un qualunque posto fuori o dentro di te
507,Io sto bene dove sto
508,Anello di fumo
509,L'amore va oltre
510,Joe temerario
511,Return My Love
512,Tutti quanti abbiamo un angelo.1
513,Un porto nel vento
514,Non abbiam bisogno di parole
515,Non abbiam bisogno di parole.1
516,Una Citta Per Cantare
517,Stella mia
518,Ferite e lacrime (You)
519,Vorrei incontrarti fra cent'anni (con la partecipazione di Tosca).1
520,Tutti quanti abbiamo un angelo
521,Il sole e la luna
522,Ferite e lacrime (You).1
523,Vorrei incontrarti fra cent'anni (con la partecipazione di Tosca)
524,Piazza Grande
525,Mi hai preso il cuore
526,Una Citta Per Cantare.1
527,Sono uguale a te
528,Il sole e la luna.1
529,No Diggity.1
530,"Take Me There (feat. Mya, Ma$e & Blinky Blink)"
531,No Diggity
532,Good Lovin'
533,Don't Leave Me
534,Hard Times
535,Down in the Park
536,Deformography
537,Sweet Dreams   Hell Outro
538,Irresponsible Hate Anthem
539,Antichrist Superstar
540,The Reflecting God
541,"Dried Up, Tied and Dead to the World"
542,Long Hard Road Out of Hell
543,The Dope Show
544,Coma White
545,Shitty Chicken Gang Bang
546,Sweet Dreams   Hell Outro.1
547,The Beautiful People
548,The Beautiful People.1
549,Sweet Dreams   Hell Outro.2
550,MacArthur Park
551,Midnight Lady
552,Fever
553,Just a Gigolo
554,Just in Time
555,Liberi di - liberi da.1
556,Legami
557,Liberi di - liberi da
558,Jesahel
559,Dentro ad ogni attimo
560,Dove sei?
561,Notti d'estate
562,E andata cosi
563,Gelosia
564,(I've Had) The Time of My Life.1
565,(I've Had) The Time of My Life
566,We Are the World.1
567,We Are the World.2
568,We Are the World.3
569,We Are the World
570,Palisades Park
571,Bitch
572,Am I the Same Girl
573,Sophisticated Lady
574,Do Nothin' Till You Hear From Me
575,It Don't Mean a Thing
576,Just Squeeze Me
577,Jeep's Blues
578,Don't Get Around Much Anymore.2
579,Don't Get Around Much Anymore.1
580,Sophisticated Lady.1
581,Moon Mist
582,Sophisticated Lady.2
583,Stormy Weather
584,"Take the ""A"" Train"
585,Passion Flower
586,Perdido
587,"Take the ""A"" Train.2"
588,Cotton Tail
589,In a Sentimental Mood
590,Satin Doll
591,"Take the ""A"" Train.1"
592,Such Sweet Thunder
593,Ellington Medley
594,Don't Get Around Much Anymore
595,I'm Beginning to See the Light
596,I Let a Song Go Out of My Heart
597,Things Ain't What They Used to Be
598,Satin Doll.1
599,Sweet Georgia Brown
600,It Don't Mean a Thing.1
601,Caravan
602,Freak Me
603,I Want You for Myself
604,Who's Johnny
605,Hang on Sloopy
606,Sky High
607,Twilight Zone.1
608,Twilight Zone.2
609,Radar Love
610,Radar Love.2
611,Radar Love.1
612,Twilight Zone
613,Moonlighting (Theme)
614,Mornin'
615,Moonlighting (Theme).1
616,Roof Garden
617,Roof Garden.1
618,We're in This Love Together
619,Roof Garden.2
620,Runaway Train.5
621,Runaway Train.4
622,Somebody to Shove
623,Runaway Train.1
624,Runaway Train.3
625,Runaway Train.2
626,Misery
627,Runaway Train
628,Scatman
629,Folsom Prison Blues
630,Rebel Rouser
631,Come On Eileen
632,Come On Eileen.1
633,Where the River Flows
634,December.1
635,Precious Declaration
636,Run
637,Shine.1
638,December
639,Gel
640,Shine
641,Gel.1
642,The World I Know
643,Smashing Young Man
644,My Blue Heaven
645,Something So Strong
646,Don't Dream It's Over.1
647,Don't Dream It's Over
648,Too Hot
649,Too Hot.1
650,What Would the World Be Without Music   Let the Music Take Your Mind Medley
651,Fresh
652,Get Down On It.1
653,Celebration
654,Cherish
655,Ladies Night.2
656,Cherish.1
657,Jungle Boogie
658,Ladies Night
659,Medley
660,Ladies Night.1
661,Get Down On It
662,Celebration.1
663,Funky Stuff
664,Fresh.1
665,Celebration.2
666,Celebration.3
667,Fresh.2
668,Locomotion
669,Loco Motion
670,Don't Let Me Be Misunderstood
671,Don't Let Me Be Misunderstood.2
672,Don't Let Me Be Misunderstood.1
673,Insieme senza parole
674,Amori amori
675,E successo a noi
676,Happy Guitar.1
677,Last Date
678,Amapola
679,Amapola.2
680,Amapola.1
681,Happy Guitar
682,Unchained Melody
683,Devil With a Blue Dress
684,Freed From Desire
685,Mustang Sally
686,The Lonely Shepherd
687,Only Love
688,I Might
689,You Drive Me Crazy.1
690,You Drive Me Crazy.2
691,You Drive Me Crazy
692,Think About the Way 2K9
693,I Promised Myself
694,I Promised Myself.1
695,I Promised Myself.2
696,Double Vision
697,Head Games
698,Urgent.1
699,I Want to Know What Love Is
700,Urgent.3
701,Urgent.2
702,Waiting for a Girl Like You
703,Feels Like the First Time
704,Cold as Ice
705,Urgent
706,Hot Blooded.1
707,"Blue Morning, Blue Day"
708,Double Vision.2
709,That Was Yesterday
710,Double Vision.1
711,Cold as Ice.3
712,Waiting for a Girl Like You.3
713,Waiting for a Girl Like You.2
714,Cold as Ice.2
715,Waiting for a Girl Like You.1
716,Cold as Ice.1
717,Head Games.1
718,Hot Blooded
719,I Want to Know What Love Is.2
720,I Want to Know What Love Is.1
721,Nothing but Love
722,Wind Me Up
723,"Daddy, Brother, Lover, Little Boy (The Electric Drill Song)"
724,To Be With You
725,How Can You Do What You Do
726,To Be With You.1
727,Addicted to That Rush
728,Massachusetts
729,Stayin Alive
730,How Deep Is Your Love.6
731,Don't Forget to Remember
732,Words.1
733,More Than a Woman
734,You Should Be Dancing
735,How Deep Is Your Love.5
736,How Deep Is Your Love.4
737,Words.2
738,Massachusettes.2
739,Love You Inside Out
740,Night Fever
741,I've Got to Get a Message to You
742,How Deep Is Your Love.1
743,Massachusettes.1
744,You Should Be Dancin' (live)
745,How Deep Is Your Love.3
746,How Deep Is Your Love.2
747,Paying the Price of Love
748,Too Much Heaven.2
749,Too Much Heaven.3
750,I Started a Joke.1
751,I Started a Joke.3
752,Too Much Heaven.1
753,I Started a Joke.2
754,You Win Again
755,New York Mining Disaster 1941
756,Stayin'Alive
757,Massachusetts.2
758,New York Mining Disaster 1941.2
759,Too Much Heaven
760,How Can You Mend a Broken Heart.1
761,I've Gotta Get a Message to You
762,Massachusetts.1
763,New York Mining Disaster 1941.1
764,Run to Me
765,Nights on Broadway
766,How Can You Mend a Broken Heart.2
767,How Deep Is Your Love
768,Tragedy.1
769,To Love Somebody.1
770,I've Got to Get a Message to You.1
771,To Love Somebody.2
772,Words
773,To Love Somebody.3
774,Secret Love
775,Holiday
776,Jive Talkin
777,Woman in Love
778,To Love Somebody.4
779,Medley
780,Tragedy
781,Israel
782,Stayin Alive.7
783,Night Fever.3
784,Nights on Broadway.1
785,Night Fever.2
786,Stayin Alive.6
787,Stayin Alive.4
788,Nights on Broadway.2
789,Nights on Broadway.3
790,Night Fever.1
791,Stayin Alive.5
792,Stayin Alive.1
793,You Win Again.1
794,To Love Somebody
795,I Started a Joke
796,Stayin Alive.2
797,Massachusettes
798,How Can You Mend a Broken Heart
799,Jive Talkin.1
800,Stayin Alive.3
801,I Will Always Love You
802,"Hey, Ba-Ba-Re-Bop"
803,No Scrubs
804,Dear Lie
805,No Scrubs.1
806,Red Light Special.1
807,Unpretty
808,Creep.1
809,Red Light Special
810,Creep
811,Baby-Baby-Baby
812,Waterfall (single edit)
813,Waterfalls
814,Waterfalls.2
815,Waterfalls.1
816,Shepherd's Hey!
817,Danny Boy
818,Tears Don't Lie (long version).1
819,Tears Don't Lie (long version)
820,"Droste, Horst Du Mich?"
821,Love Song (long version).1
822,Love Song (long version)
823,I Got A Line On You
824,Travelin' Man
825,Hello Mary Lou.1
826,Hello Mary Lou.2
827,Poor Little Fool
828,Garden Party
829,Travelin' Man.1
830,Hello Mary Lou
831,Higher Love.4
832,Higher Love.3
833,Higher Love.2
834,Higher Love.1
835,While You See a Chance
836,Valerie
837,Higher Love
838,"No Woman, No Cry"
839,Ready Or Not
840,Fugeela
841,Killing Me Softly.8
842,Killing Me Softly.6
843,Killing Me Softly.7
844,Killing Me Softly.5
845,Killing Me Softly.4
846,Fu-Gee-La
847,Killing Me Softly.1
848,Killing Me Softly.3
849,Killing Me Softly.2
850,Killing Me Softly
851,Night Rhythms
852,Walk the Dinosaur
853,Blue Monday
854,Inside
855,Inside.1
856,Sweet Harmony.1
857,Sweet Harmony.2
858,Sweet Harmony
859,Up in Arms.1
860,Up in Arms
861,Walking After You
862,Down in the Park
863,This Is A Call.1
864,Big Me.1
865,I'll Stick Around
866,Learn to Fly
867,Breakout
868,Big Me.2
869,Monkey Wrench
870,Winnebago
871,My Hero
872,Everlong
873,"Oh, George"
874,Requiem
875,My Poor Brain.1
876,This Is A Call
877,Big Me
878,Everlong.1
879,I'll Stick Around.1
880,My Poor Brain
881,I'm So Glad That I'm a Woman
882,Love Theme
883,Sock It 2 Me
884,The Opera
885,Duel (Eye to Eye)
886,Sometimes When We Touch
887,Hungarian Dance Nr 1 In G Minor
888,Danza Ungherese n. 8 in la minore - Presto
889,"Liebeslieder Waltz, Op. 52, No. 6"
890,Hungarian Dance Nr 1 In G Minor.1
891,Disco Inferno
892,Zing Went the Strings of My Heart
893,Driver's Seat
894,Driver's Seat.1
895,Driver's Seat.2
896,One of Us.1
897,One of Us
898,This World Today is a Mess
899,Roll With It.1
900,Whatever
901,Do You Know What I Mean?.1
902,Don't Go Away
903,Don't Look Back in Anger.1
904,Don't Look Back in Anger
905,All Around the World
906,Morning Glory
907,Live Forever
908,Wonderwall.1
909,Do You Know What I Mean?
910,She's Electric
911,Wonderwall
912,The Masterplan
913,Supersonic
914,Stand by Me.1
915,Stop Crying Your Heart Out
916,Don't Go Away.1
917,Champagne Supernova.1
918,Cast No Shadow
919,Cum on Feel the Noise
920,All Around the World.1
921,Stand by Me
922,Go Let It Out
923,Whatever.1
924,Roll With It
925,Champagne Supernova
926,Dont Look Back in Anger
927,Shakermaker
928,Talk Tonight
929,I've Got a Crush on You
930,I Can't Give You Anything but Love
931,How High the Moon
932,Erst ein Cappucino
933,Und die Erde steht still
934,Tango mit Fernando
935,Caballero - Caballero.1
936,Tango mit Fernando.1
937,Caballero - Caballero
938,Erst ein Cappucino.1
939,Fool Again
940,Swear It Again
941,Poison Arrow
942,4 Ever 2 Gether
943,"Look of Love, Part 1"
944,Yah Mo B There
945,Criticize
946,Ain't That Just the Way
947,Only in Dreams
948,Tired of Sex
949,El Scorcho
950,Mykel & Carli
951,In the Garage
952,Buddy Holly.1
953,Buddy Holly
954,Undone
955,The Good Life
956,Undone.1
957,Jamie
958,Getchoo
959,Say It Ain't So
960,Closing Time
961,Hyper-Ballad
962,Joga
963,It's Oh So Quiet
964,Human Behavior
965,Venus As A Boy
966,Bachelorette
967,Human Behaviour
968,Celine
969,The Holly And The Ivy
970,Harper Valley PTA
971,Israelism
972,Linus and Lucy
973,Les Peanuts   Charly Brown   Snoopy
974,Aria
975,Domani smetto
976,Tranqi Funky
977,Twist In My Sobriety
978,Twist In My Sobriety.1
979,Cosa restera (In a Song).1
980,Another Race.1
981,Lucky (In My Life).2
982,Blue
983,My Console
984,Cosa restera (In a Song)
985,Lucky (In My Life).1
986,Dub in Life.1
987,Viaggia insieme a me
988,Too Much of Heaven
989,Quelli che non hanno eta
990,Your Clown
991,Blue (Da Ba Dee)
992,Too Much of Heaven.1
993,Lucky (In My Life)
994,Another Race
995,Back in Time
996,Dub in Life
997,Your Clown.1
998,She's in Love With the Boy
999,There Goes My Baby
1000,Count Me In
1001,This Diamond Ring
1002,Sealed With a Kiss
1003,Everybody Loves a Clown
1004,Brazil
1005,Tanti auguri
1006,Seven Days.1
1007,Seven Days
1008,Il mare d'inverno
1009,Stiamo come stiamo
1010,Non sono una signora
1011,Ragazzo mio
1012,Non sono una signora.1
1013,Acqua
1014,In alto mare
1015,Buongiorno anche a te
1016,Amici non ne ho
1017,Solitudini
1018,Portami con te
1019,Luna
1020,Ninna nanna
1021,Mi manchi
1022,Sei bellissima
1023,If I Can't Have You
1024,Comin' Home Baby
1025,Girls Girls Girls.1
1026,A Glass of Champagne
1027,Girls Girls Girls
1028,The Most Beautiful Girl in the World
1029,Whispering Grass (Don't Tell the Trees)
1030,Come On Over (All I Want Is You)
1031,I Turn to You
1032,Genie in a Bottle
1033,Reflection
1034,Genie In a Bottle.1
1035,Reflection.1
1036,Vanita di vanita
1037,Cogli la prima mela
1038,Si puo fare
1039,La pulce d'acqua
1040,Domenica e lunedi
1041,Alla fiera dell'est.1
1042,Il giocatore di biliardo
1043,Domenica e lunedi.1
1044,Alla fiera dell'est
1045,La pulce d'acqua.2
1046,La pulce d'acqua.1
1047,One Thing Leads to Another
1048,Let's All Chant
1049,Prinzessin De Bahia Tropical
1050,Get Ready
1051,Get Ready.1
1052,Carolina Shout
1053,Just Like Heaven.1
1054,Kyoto Song
1055,Hot Hot Hot!!!
1056,Just Like Heaven.2
1057,The Figurehead
1058,Apart
1059,Boys Don't Cry
1060,Six Different Ways
1061,Fascination Street
1062,Close to Me
1063,Just Like Heaven
1064,Friday I'm In Love
1065,Lament
1066,Close to Me.3
1067,Close to Me.2
1068,A Thousand Hours
1069,Close to Me.1
1070,Lullaby
1071,Friday I'm In Love.1
1072,Friday I'm In Love.2
1073,All Cats Are Grey
1074,High
1075,Rain and Tears
1076,Just Came Back
1077,I Wanna Sex You Up
1078,I Wanna Sex You Up.1
1079,Mach 5
1080,Lump
1081,Peaches
1082,Video Killed The Radio Star
1083,Smokin' In the Boy's Room
1084,Come On Eileen
1085,Come On Eileen.1
1086,(Where Do I Begin) Love Story
1087,Can't Get Used To Losing You
1088,MacArthur Park
1089,The Impossible Dream
1090,Battle Hymn of the Republic
1091,Fast Love
1092,Father Figure.2
1093,Fastlove
1094,Father Figure.1
1095,Too Funky
1096,Outside
1097,Faith
1098,Father Figure
1099,One More Try
1100,Freedom 90.2
1101,Freedom 90.1
1102,Too Funky.1
1103,One More Try.2
1104,Fast Love.1
1105,Faith.1
1106,One More Try.3
1107,Careless Whisper.1
1108,Jesus to a Child.1
1109,Careless Whisper.3
1110,Jesus to a Child.3
1111,One More Try.1
1112,Jesus to a Child
1113,Faith.2
1114,Jesus to a Child.2
1115,Careless Whisper.2
1116,Wake Me Up Before You Go Go
1117,Roxanne
1118,Careless Whisper
1119,Don't Let The Sun Go Down On Me
1120,Praying for Time
1121,Don't Let The Sun Go Down On Me.1
1122,Freedom 90
1123,"Fastlove, Part 1"
1124,Pools
1125,Twilight Time
1126,Only You
1127,Smoke Gets in Your Eyes.1
1128,Smoke Gets in Your Eyes.3
1129,Smoke Gets in Your Eyes.2
1130,Only You.9
1131,Only You.8
1132,Great Pretender.4
1133,Save the Last Dance for Me
1134,Great Pretender
1135,Great Pretender.3
1136,Great Pretender.2
1137,Under the Boardwalk
1138,Great Pretender.1
1139,Only You.1
1140,Only You.3
1141,The Platters Mix: Smoke Gets in Your Eyes   The Great Pretender   Twilight Time   Harbour Lights   Only You
1142,Only You.2
1143,Only You.6
1144,Only You.7
1145,Only You.5
1146,Only You.4
1147,Smoke Gets in Your Eyes
1148,Partir
1149,Fais moi une place
1150,Femmes... je vous aime
1151,Et maintenant.1
1152,Et maintenant
1153,Sideshow
1154,Il mondo
1155,In Your Eyes
1156,Turn Your Love Around
1157,On Broadway.1
1158,On Broadway.2
1159,This Masquerade.1
1160,Give Me the Night.1
1161,In Your Eyes.2
1162,In Your Eyes.1
1163,On Broadway
1164,Give Me the Night
1165,Feel Like Making Love
1166,This Masquerade
1167,Breezin'
1168,Donne
1169,Diamante.3
1170,Senza Una Donna.3
1171,Baila (Sexy Thing)
1172,Senza Una Donna.2
1173,Hey Man.1
1174,Diamante.2
1175,Canzone triste (Canzone d'amore)
1176,L'urlo
1177,Muoio per te
1178,Il volo
1179,Diamante
1180,Senza Una Donna.1
1181,Hey Man.2
1182,Puro amore
1183,Diamante.1
1184,Pippo.1
1185,Pane e sale
1186,Cosi celeste
1187,Senza Una Donna.5
1188,Senza Una Donna.4
1189,Diamante.4
1190,Non ti sopporto piu
1191,Senza Una Donna.6
1192,Senza Una Donna.7
1193,Madre dolcissima
1194,Hai scelto me
1195,Come il sole all'improvviso.1
1196,Cosi celeste.2
1197,Alleluja
1198,Con le mani.3
1199,Con le mani.2
1200,Dune mosse.2
1201,Rispetto.1
1202,Il mare impetuoso al tramonto sali sulla luna e dietro una tendina di stelle...
1203,Cosi celeste.1
1204,Come il sole all'improvviso.2
1205,Con le mani.1
1206,Dune mosse.1
1207,Come il sole all'improvviso.3
1208,Music in Me
1209,Per colpa di chi.1
1210,Nice (Nietzsche) che dice.1
1211,Madre dolcissima.2
